Key,Version,Timeline (Days after Entering Journey),Email Name,Preheader,Email Body Text,Links Clicked (Date range 9/3/2024 - 12/31/2024),Total Clicks,Unique Clicks,Net CTR,Version.1,Links Clicked (Date range 2/27/2024-9/3/2024),Total Clicks.1,Unique Clicks.1,Net CTR.1,Version.2,Links Clicked (Date range 10/6/2023 - 2/27/2024),Total Clicks.2,Unique Clicks.2,Net CTR.2
116,3,5,Email6_Get Involved at Pitt,Choosing just one might be the hardest part,"There are so many options, we’d get overwhelmed too! A great way to get started is in the community. Here’s a few suggestions to check out! 

1 – PittServes – a volunteer coordination office - connects people through service.SCI’s partnership with this office is iServe, which can connect you to service opportunities related to your interest in SCI!  

2 - Graduate and Professional Student Government hosts social, civic and cultural events, and provides services, too.  

3 – If you love sports, don’t forget about The Pittsburgh Panthers! With 19 division-1 teams, you’re sure to see a game worth remembering. 

4 – PITTARTS organizes excursions to performances, tours, and the cultural offerings of the city for free or highly discounted prices for every student to enjoy. 

Your graduate program will be work, but we hope you’ll balance it with play. A once-in-a-lifetime experience is possible at Pitt! 

Signature",,,,,,PittServes,2,2,0.0054,,University’s Graduate and Professional Student Community,2,2,0.007
116,3,5,Email6_Get Involved at Pitt,Choosing just one might be the hardest part,"There are so many options, we’d get overwhelmed too! A great way to get started is in the community. Here’s a few suggestions to check out! 

1 – PittServes – a volunteer coordination office - connects people through service.SCI’s partnership with this office is iServe, which can connect you to service opportunities related to your interest in SCI!  

2 - Graduate and Professional Student Government hosts social, civic and cultural events, and provides services, too.  

3 – If you love sports, don’t forget about The Pittsburgh Panthers! With 19 division-1 teams, you’re sure to see a game worth remembering. 

4 – PITTARTS organizes excursions to performances, tours, and the cultural offerings of the city for free or highly discounted prices for every student to enjoy. 

Your graduate program will be work, but we hope you’ll balance it with play. A once-in-a-lifetime experience is possible at Pitt! 

Signature",,,,,,University’s Graduate and Professional Student Community,2,2,0.0054,,University-wide organizations,3,2,0.007
116,3,5,Email6_Get Involved at Pitt,Choosing just one might be the hardest part,"There are so many options, we’d get overwhelmed too! A great way to get started is in the community. Here’s a few suggestions to check out! 

1 – PittServes – a volunteer coordination office - connects people through service.SCI’s partnership with this office is iServe, which can connect you to service opportunities related to your interest in SCI!  

2 - Graduate and Professional Student Government hosts social, civic and cultural events, and provides services, too.  

3 – If you love sports, don’t forget about The Pittsburgh Panthers! With 19 division-1 teams, you’re sure to see a game worth remembering. 

4 – PITTARTS organizes excursions to performances, tours, and the cultural offerings of the city for free or highly discounted prices for every student to enjoy. 

Your graduate program will be work, but we hope you’ll balance it with play. A once-in-a-lifetime experience is possible at Pitt! 

Signature",,,,,,https://www.sci.pitt.edu/student-resources/newly-admitted-students,2,1,0.0027,,,,,
116,3,5,Email6_Get Involved at Pitt,Choosing just one might be the hardest part,"There are so many options, we’d get overwhelmed too! A great way to get started is in the community. Here’s a few suggestions to check out! 

1 – PittServes – a volunteer coordination office - connects people through service.SCI’s partnership with this office is iServe, which can connect you to service opportunities related to your interest in SCI!  

2 - Graduate and Professional Student Government hosts social, civic and cultural events, and provides services, too.  

3 – If you love sports, don’t forget about The Pittsburgh Panthers! With 19 division-1 teams, you’re sure to see a game worth remembering. 

4 – PITTARTS organizes excursions to performances, tours, and the cultural offerings of the city for free or highly discounted prices for every student to enjoy. 

Your graduate program will be work, but we hope you’ll balance it with play. A once-in-a-lifetime experience is possible at Pitt! 

Signature",,,,,,iServes@PittServes,1,1,0.0027,,,,,
116,3,5,Email6_Get Involved at Pitt,Choosing just one might be the hardest part,"There are so many options, we’d get overwhelmed too! A great way to get started is in the community. Here’s a few suggestions to check out! 

1 – PittServes – a volunteer coordination office - connects people through service.SCI’s partnership with this office is iServe, which can connect you to service opportunities related to your interest in SCI!  

2 - Graduate and Professional Student Government hosts social, civic and cultural events, and provides services, too.  

3 – If you love sports, don’t forget about The Pittsburgh Panthers! With 19 division-1 teams, you’re sure to see a game worth remembering. 

4 – PITTARTS organizes excursions to performances, tours, and the cultural offerings of the city for free or highly discounted prices for every student to enjoy. 

Your graduate program will be work, but we hope you’ll balance it with play. A once-in-a-lifetime experience is possible at Pitt! 

Signature",,,,,,University athletic events,3,1,0.0027,,,,,
124,3,5,Email7_Welcome from Chancellor Gabel,Congratulations on your acceptance to Pitt,"Dear FIRST NAME, Congratulations on your acceptance to the University of Pittsburgh! Pitt has a worldwide reputation for excellence and impact, and for ensuring every member feels welcome and supported - and has a strong sense of belonging. Your acceptance affirms our strong belief in you and your potential, and we are invested in your every success. Good luck, be bold and inspired, and we look forward to seeing you around campus soon! With warm regards, Joan Gabel Chancellor Joseph McCarthy Interim Provost and Senior Vice Chancellor",,0,,,2,,0,,,,,,,
115,3,5,Email8_ from Emily Bennett,A note from the Manager of Experiential Learning,"Dear FIRST NAME, 

I’m Emily Bennett, the school’s Manager of Experiential Learning. In short, I connect SCI students to outside of the classroom learning opportunities. This may involve internships, co-ops, research, or community engagement. Whether you’re growing your current skillset or branching into something new, professional development and resume building is always beneficial. Here’s how SCI can help: 

    iServe: this program pairs you with a local non-profit for a semester long service project. You’ll help them with technical, computing or information related issues, which gives you more resume experience and recent professional references. It’s also a highly rewarding experience. 

    Community Engagement Centers: a commitment Pitt made to the local community, these can get you involved by teaching digital literacy, cybersecurity, coding, and other topics.  

    Alternative Spring Break: you can travel to a country like Ecuador for a service-learning project with global impact. 

    Practical industry experience: internships or co-ops are a great way to learn on the job. SCI brings in employers to host information sessions, organizes professional workshops, and more.  

Find us when you arrive to make the most of your Pitt experience!  

I look forward to meeting you soon. 

Emily’s Signature ",https://www.sci.pitt.edu/academics/experiential-learning/community-engagement,4,2,0.038,2,https://www.sci.pitt.edu/academics/experiential-learning/community-engagement,14,8,0.022,1,https://www.sci.pitt.edu/academics/experiential-learning/community-engagement,6,6,0.0216
115,3,5,Email8_ from Emily Bennett,A note from the Manager of Experiential Learning,"Dear FIRST NAME, 

I’m Emily Bennett, the school’s Manager of Experiential Learning. In short, I connect SCI students to outside of the classroom learning opportunities. This may involve internships, co-ops, research, or community engagement. Whether you’re growing your current skillset or branching into something new, professional development and resume building is always beneficial. Here’s how SCI can help: 

    iServe: this program pairs you with a local non-profit for a semester long service project. You’ll help them with technical, computing or information related issues, which gives you more resume experience and recent professional references. It’s also a highly rewarding experience. 

    Community Engagement Centers: a commitment Pitt made to the local community, these can get you involved by teaching digital literacy, cybersecurity, coding, and other topics.  

    Alternative Spring Break: you can travel to a country like Ecuador for a service-learning project with global impact. 

    Practical industry experience: internships or co-ops are a great way to learn on the job. SCI brings in employers to host information sessions, organizes professional workshops, and more.  

Find us when you arrive to make the most of your Pitt experience!  

I look forward to meeting you soon. 

Emily’s Signature ",,,,,,https://pi.tt/studentcenter,10,5,0.0137,,https://pi.tt/studentcenter,10,5,0.018
115,3,5,Email8_ from Emily Bennett,A note from the Manager of Experiential Learning,"Dear FIRST NAME, 

I’m Emily Bennett, the school’s Manager of Experiential Learning. In short, I connect SCI students to outside of the classroom learning opportunities. This may involve internships, co-ops, research, or community engagement. Whether you’re growing your current skillset or branching into something new, professional development and resume building is always beneficial. Here’s how SCI can help: 

    iServe: this program pairs you with a local non-profit for a semester long service project. You’ll help them with technical, computing or information related issues, which gives you more resume experience and recent professional references. It’s also a highly rewarding experience. 

    Community Engagement Centers: a commitment Pitt made to the local community, these can get you involved by teaching digital literacy, cybersecurity, coding, and other topics.  

    Alternative Spring Break: you can travel to a country like Ecuador for a service-learning project with global impact. 

    Practical industry experience: internships or co-ops are a great way to learn on the job. SCI brings in employers to host information sessions, organizes professional workshops, and more.  

Find us when you arrive to make the most of your Pitt experience!  

I look forward to meeting you soon. 

Emily’s Signature ",,,,,,https://cec.pitt.edu/,2,2,0.0055,,https://cec.pitt.edu/,1,1,0.0036
115,3,5,Email8_ from Emily Bennett,A note from the Manager of Experiential Learning,"Dear FIRST NAME, 

I’m Emily Bennett, the school’s Manager of Experiential Learning. In short, I connect SCI students to outside of the classroom learning opportunities. This may involve internships, co-ops, research, or community engagement. Whether you’re growing your current skillset or branching into something new, professional development and resume building is always beneficial. Here’s how SCI can help: 

    iServe: this program pairs you with a local non-profit for a semester long service project. You’ll help them with technical, computing or information related issues, which gives you more resume experience and recent professional references. It’s also a highly rewarding experience. 

    Community Engagement Centers: a commitment Pitt made to the local community, these can get you involved by teaching digital literacy, cybersecurity, coding, and other topics.  

    Alternative Spring Break: you can travel to a country like Ecuador for a service-learning project with global impact. 

    Practical industry experience: internships or co-ops are a great way to learn on the job. SCI brings in employers to host information sessions, organizes professional workshops, and more.  

Find us when you arrive to make the most of your Pitt experience!  

I look forward to meeting you soon. 

Emily’s Signature ",https://cec.pitt.edu/,4,2,0.038,,https://www.sci.pitt.edu/student-resources/newly-admitted-students,1,1,0.0027,,,,,
114,3,5,Email9_ from Larissa Ciuca,,"Dear FIRST NAME,  

Welcome to the School of Computing and Information at the University of Pittsburgh!  

The SCI Student Success team leads the way in programming, outreach, and holistic support for its graduate students. This means when you decided to enroll in the ACADEMIC PROGRAM at SCI, you gained access to a new pool of resources to connect with a successful future. 

The Student Succes Team is your partner, from Orientation to Graduation, to reach your goals through academic guidance and support services. They help you how you need them to; whether to identify and build new skills, develop strengths, overcome challenges, or to simply make the most of your time in SCI. 

As you prepare for graduate studies at Pitt, be prepared to seek and ask for support. Successful graduates rarely succeed on their own, rather by using the resources at their disposal to reach new heights. 

If you have questions, want guidance, or just need someone to listen, don't forget about the team around you. Regardless of where you are in your journey or the experiences you bring with you, the Student Success team is here to support and empower you.  

SCI/Student Success Signature ",https://pi.tt/studentcenter,1,1,0.02,2,https://pi.tt/studentcenter,23,8,0.0223,1,https://pi.tt/studentcenter,9,6,0.0221
114,3,5,Email9_ from Larissa Ciuca,,"Dear FIRST NAME,  

Welcome to the School of Computing and Information at the University of Pittsburgh!  

The SCI Student Success team leads the way in programming, outreach, and holistic support for its graduate students. This means when you decided to enroll in the ACADEMIC PROGRAM at SCI, you gained access to a new pool of resources to connect with a successful future. 

The Student Succes Team is your partner, from Orientation to Graduation, to reach your goals through academic guidance and support services. They help you how you need them to; whether to identify and build new skills, develop strengths, overcome challenges, or to simply make the most of your time in SCI. 

As you prepare for graduate studies at Pitt, be prepared to seek and ask for support. Successful graduates rarely succeed on their own, rather by using the resources at their disposal to reach new heights. 

If you have questions, want guidance, or just need someone to listen, don't forget about the team around you. Regardless of where you are in your journey or the experiences you bring with you, the Student Success team is here to support and empower you.  

SCI/Student Success Signature ",https://www.sci.pitt.edu/student-resources/student-success,1,1,0.02,,https://www.sci.pitt.edu/student-resources/student-success,9,8,0.0223,,https://www.sci.pitt.edu/student-resources/student-success,2,2,0.0074
126,3,10m,Newly admitted students web page intro,University of Pittsburgh,"Dear FIRST NAME, Getting acclimated to a new community is both exciting and challenging! To help you prepare for this transition, we have developed a New Students page dedicated to providing information about a number of topics such as post-acceptance procedures, getting access to your Pitt email address, orientation schedules, and more. We highly recommend that you bookmark this page as you prepare to begin your students at Pitt. In addition to familiarizing yourself with these details, you can also get to know us! You can visit our Who to Contact page to learn more about how our staff can help you during your studies, and you can access our Faculty Directory to learn more about our faculty and their research interests. If you have any additional questions, please contact the SCI Records staff at scirecords@pitt.edu. Once again, we welcome you to SCI and we look forward to meeting you! Wes's Signature",www.sci.pitt.edu/student-resources/newly-admitted-students,256,140,0.4,2,www.sci.pitt.edu/student-resources/newly-admitted-students,28,17,0.4359,,,,,
126,3,10m,Newly admitted students web page intro,University of Pittsburgh,"Dear FIRST NAME, Getting acclimated to a new community is both exciting and challenging! To help you prepare for this transition, we have developed a New Students page dedicated to providing information about a number of topics such as post-acceptance procedures, getting access to your Pitt email address, orientation schedules, and more. We highly recommend that you bookmark this page as you prepare to begin your students at Pitt. In addition to familiarizing yourself with these details, you can also get to know us! You can visit our Who to Contact page to learn more about how our staff can help you during your studies, and you can access our Faculty Directory to learn more about our faculty and their research interests. If you have any additional questions, please contact the SCI Records staff at scirecords@pitt.edu. Once again, we welcome you to SCI and we look forward to meeting you! Wes's Signature",https://www.sci.pitt.edu/student-resources/newly-admitted-students,82,50,0.143,,https://www.sci.pitt.edu/student-resources/newly-admitted-students,11,8,0.2051,,,,,
126,3,10m,Newly admitted students web page intro,University of Pittsburgh,"Dear FIRST NAME, Getting acclimated to a new community is both exciting and challenging! To help you prepare for this transition, we have developed a New Students page dedicated to providing information about a number of topics such as post-acceptance procedures, getting access to your Pitt email address, orientation schedules, and more. We highly recommend that you bookmark this page as you prepare to begin your students at Pitt. In addition to familiarizing yourself with these details, you can also get to know us! You can visit our Who to Contact page to learn more about how our staff can help you during your studies, and you can access our Faculty Directory to learn more about our faculty and their research interests. If you have any additional questions, please contact the SCI Records staff at scirecords@pitt.edu. Once again, we welcome you to SCI and we look forward to meeting you! Wes's Signature",Who to Contact,66,44,0.126,,Who to Contact,7,6,0.1538,,,,,
126,3,10m,Newly admitted students web page intro,University of Pittsburgh,"Dear FIRST NAME, Getting acclimated to a new community is both exciting and challenging! To help you prepare for this transition, we have developed a New Students page dedicated to providing information about a number of topics such as post-acceptance procedures, getting access to your Pitt email address, orientation schedules, and more. We highly recommend that you bookmark this page as you prepare to begin your students at Pitt. In addition to familiarizing yourself with these details, you can also get to know us! You can visit our Who to Contact page to learn more about how our staff can help you during your studies, and you can access our Faculty Directory to learn more about our faculty and their research interests. If you have any additional questions, please contact the SCI Records staff at scirecords@pitt.edu. Once again, we welcome you to SCI and we look forward to meeting you! Wes's Signature",Office of International Services (OIS),74,40,0.114,,Faculty Directory,4,1,0.0256,,,,,
126,3,10m,Newly admitted students web page intro,University of Pittsburgh,"Dear FIRST NAME, Getting acclimated to a new community is both exciting and challenging! To help you prepare for this transition, we have developed a New Students page dedicated to providing information about a number of topics such as post-acceptance procedures, getting access to your Pitt email address, orientation schedules, and more. We highly recommend that you bookmark this page as you prepare to begin your students at Pitt. In addition to familiarizing yourself with these details, you can also get to know us! You can visit our Who to Contact page to learn more about how our staff can help you during your studies, and you can access our Faculty Directory to learn more about our faculty and their research interests. If you have any additional questions, please contact the SCI Records staff at scirecords@pitt.edu. Once again, we welcome you to SCI and we look forward to meeting you! Wes's Signature",Faculty Directory,35,25,0.071,,,,,,,,,,
